NVM, MEM_CAP, LATENCY (NS)
0,100,6923137
0,100,7322408
0,100,7510761
0,100,7608127
0,100,7181503
0,100,7153743
0,100,6982199
0,100,7043475
0,100,7030660
0,100,7042317
0,100,7031168
0,100,6938735
0,100,7073024
0,100,7021298
0,100,7118737
0,100,6910606
0,100,7256255
0,100,6928334
0,100,7225213
0,100,6902383
0,100,6826125
0,100,7073136
0,100,6981982
0,100,6957744
0,100,7449316
0,100,7558271
0,100,7242509
0,100,7947441
0,100,7320880
0,100,7055040
0,100,7135556
0,100,6867386
0,100,7075456
0,100,6988047
0,100,7121913
0,100,7201270
0,100,7035503
0,100,7434600
0,100,7092124
0,100,7040848
0,100,7048054
0,100,6901951
0,100,7019544
0,100,7153259
0,100,7072596
0,100,7107220
0,100,7048186
0,100,7003511
0,100,7231756
0,100,7016822
0,100,6951690
0,100,6935350
0,100,7174076
0,100,6979694
0,100,7042963
0,100,7136863
0,100,7236013
0,100,7040957
0,100,6998400
0,100,7054939
0,100,6925259
0,100,7162702
0,100,7522034
0,100,7446390
0,100,7296911
0,100,7175428
0,100,7060543
0,100,7353138
0,100,7343904
0,100,7198886
0,100,7142339
0,100,7176157
0,100,6890529
0,100,7095818
0,100,7154822
0,100,7117931
0,100,7126337
0,100,7068844
0,100,7034615
0,100,6926854
0,100,6969575
0,100,7214094
0,100,7151503
0,100,7079303
0,100,7065964
0,100,7217846
0,100,7109147
0,100,7008108
0,100,7188965
0,100,7007586
0,100,7175624
0,100,7171856
0,100,7122387
0,100,7085715
0,100,7064804
0,100,7039857
0,100,6924597
0,100,7073669
0,100,6855236
0,100,6858637
0,200,3661562
0,200,3443638
0,200,3415652
0,200,3471545
0,200,3506018
0,200,3404381
0,200,3423860
0,200,3359170
0,200,3381996
0,200,3442724
0,200,3438450
0,200,3417106
0,200,3500545
0,200,3477725
0,200,3617763
0,200,3392686
0,200,3663296
0,200,3493737
0,200,3375675
0,200,3378319
0,200,4227919
0,200,4104277
0,200,4166816
0,200,4150043
0,200,4223591
0,200,4247076
0,200,4135504
0,200,4143782
0,200,4195412
0,200,4005730
0,200,4067773
0,200,4163076
0,200,4213674
0,200,4377211
0,200,4205708
0,200,4171543
0,200,4171589
0,200,4249351
0,200,4236430
0,200,4246785
0,200,4218799
0,200,4261139
0,200,4292647
0,200,4157333
0,200,4132090
0,200,4188991
0,200,4168595
0,200,4148827
0,200,4221267
0,200,4212346
0,200,4180559
0,200,4146283
0,200,4293751
0,200,4157372
0,200,4098894
0,200,4237975
0,200,4199704
0,200,4130865
0,200,4158618
0,200,4170754
0,200,4298020
0,200,4300878
0,200,4294434
0,200,4073297
0,200,4228871
0,200,4269637
0,200,4049543
0,200,4161977
0,200,4206716
0,200,4171909
0,200,4188628
0,200,4176204
0,200,4080854
0,200,4202356
0,200,4113003
0,200,4089037
0,200,4073286
0,200,4124862
0,200,4105720
0,200,4153714
0,200,4068466
0,200,4229464
0,200,4098891
0,200,4209043
0,200,4303792
0,200,4257406
0,200,4125054
0,200,4092903
0,200,4315544
0,200,4328093
0,200,4165638
0,200,4176044
0,200,4238166
0,200,4571068
0,200,4186303
0,200,4163654
0,200,4136426
0,200,4210049
0,200,4296438
0,200,4253696
0,300,165317
0,300,248340
0,300,164650
0,300,165396
0,300,165387
0,300,165165
0,300,165625
0,300,167866
0,300,164871
0,300,195530
0,300,165492
0,300,165196
0,300,165890
0,300,164437
0,300,165623
0,300,164423
0,300,164484
0,300,164573
0,300,167257
0,300,237974
0,300,165070
0,300,165229
0,300,165597
0,300,164933
0,300,165510
0,300,165669
0,300,165289
0,300,164481
0,300,186401
0,300,207856
0,300,165147
0,300,165204
0,300,164417
0,300,164936
0,300,259828
0,300,164786
0,300,164746
0,300,165062
0,300,165208
0,300,164820
0,300,165409
0,300,166609
0,300,165327
0,300,255148
0,300,164620
0,300,165476
0,300,164648
0,300,165700
0,300,237776
0,300,181967
0,300,165289
0,300,167102
0,300,165301
0,300,164954
0,300,165389
0,300,197313
0,300,167815
0,300,168825
0,300,168564
0,300,168509
0,300,169525
0,300,171002
0,300,169602
0,300,169138
0,300,169492
0,300,168638
0,300,197582
0,300,164611
0,300,164606
0,300,168576
0,300,170478
0,300,168364
0,300,171545
0,300,169160
0,300,169475
0,300,168871
0,300,214664
0,300,169517
0,300,169022
0,300,165814
0,300,168946
0,300,164871
0,300,165672
0,300,192872
0,300,222148
0,300,164118
0,300,164686
0,300,164060
0,300,164958
0,300,165122
0,300,165159
0,300,168998
0,300,171481
0,300,177617
0,300,165129
0,300,165136
0,300,165466
0,300,242104
0,300,164678
0,300,164690
1,100,307544
1,100,308139
1,100,350115
1,100,344540
1,100,347552
1,100,340438
1,100,340774
1,100,339626
1,100,339634
1,100,339329
1,100,343154
1,100,340690
1,100,344628
1,100,345377
1,100,345740
1,100,349756
1,100,307795
1,100,306459
1,100,357172
1,100,357715
1,100,309651
1,100,306498
1,100,307304
1,100,307308
1,100,311473
1,100,307911
1,100,305778
1,100,306115
1,100,306192
1,100,306940
1,100,318379
1,100,319073
1,100,307439
1,100,307075
1,100,334474
1,100,307117
1,100,319573
1,100,319174
1,100,320793
1,100,317973
1,100,319624
1,100,326519
1,100,341724
1,100,341882
1,100,337398
1,100,342480
1,100,344915
1,100,342662
1,100,339405
1,100,318825
1,100,316052
1,100,319919
1,100,347479
1,100,337706
1,100,315421
1,100,316099
1,100,315288
1,100,315022
1,100,315495
1,100,315963
1,100,314810
1,100,315191
1,100,315599
1,100,323306
1,100,338482
1,100,345024
1,100,307621
1,100,306922
1,100,306975
1,100,316237
1,100,316709
1,100,320785
1,100,325507
1,100,316387
1,100,317345
1,100,318848
1,100,318033
1,100,321250
1,100,315396
1,100,315380
1,100,307235
1,100,307396
1,100,306823
1,100,307397
1,100,308166
1,100,312192
1,100,307258
1,100,307480
1,100,306274
1,100,306691
1,100,310286
1,100,338468
1,100,349452
1,100,351234
1,100,354122
1,100,307141
1,100,320247
1,100,348351
1,100,373998
1,100,356619
1,200,272972
1,200,272269
1,200,314129
1,200,315953
1,200,316244
1,200,312153
1,200,305244
1,200,305946
1,200,305121
1,200,285258
1,200,283748
1,200,284291
1,200,280741
1,200,280122
1,200,275332
1,200,271960
1,200,272779
1,200,271728
1,200,271866
1,200,272746
1,200,272048
1,200,271796
1,200,272611
1,200,284627
1,200,284289
1,200,302042
1,200,276880
1,200,284902
1,200,302380
1,200,419340
1,200,304794
1,200,282173
1,200,283505
1,200,285127
1,200,282097
1,200,279857
1,200,279845
1,200,279226
1,200,281917
1,200,279987
1,200,281632
1,200,281181
1,200,287675
1,200,283589
1,200,274809
1,200,272861
1,200,272795
1,200,272746
1,200,272290
1,200,273268
1,200,271589
1,200,271161
1,200,304105
1,200,272186
1,200,310131
1,200,310977
1,200,307170
1,200,308353
1,200,307214
1,200,306125
1,200,307332
1,200,305615
1,200,305202
1,200,272541
1,200,272859
1,200,272289
1,200,311106
1,200,331726
1,200,280147
1,200,280513
1,200,284119
1,200,280661
1,200,274407
1,200,274327
1,200,272158
1,200,272772
1,200,273147
1,200,273442
1,200,272804
1,200,272977
1,200,273723
1,200,306737
1,200,276133
1,200,396483
1,200,394202
1,200,362863
1,200,305209
1,200,311850
1,200,306152
1,200,303919
1,200,304936
1,200,305949
1,200,311145
1,200,307204
1,200,302661
1,200,272921
1,200,309475
1,200,294417
1,200,305580
1,200,306159
1,300,262119
1,300,272880
1,300,275349
1,300,242181
1,300,242327
1,300,241687
1,300,243318
1,300,241399
1,300,241378
1,300,242349
1,300,242127
1,300,241687
1,300,242413
1,300,242510
1,300,242464
1,300,242139
1,300,243074
1,300,243087
1,300,241982
1,300,242444
1,300,241755
1,300,241686
1,300,242151
1,300,242811
1,300,241096
1,300,242359
1,300,242292
1,300,275118
1,300,262210
1,300,273628
1,300,241645
1,300,247855
1,300,247815
1,300,249785
1,300,248812
1,300,248012
1,300,249071
1,300,249110
1,300,252077
1,300,250363
1,300,247475
1,300,248894
1,300,247718
1,300,248635
1,300,248713
1,300,248548
1,300,250469
1,300,250967
1,300,247550
1,300,242010
1,300,242131
1,300,243307
1,300,243120
1,300,242800
1,300,247722
1,300,248412
1,300,248789
1,300,249066
1,300,251421
1,300,251428
1,300,275001
1,300,261705
1,300,241194
1,300,242131
1,300,241719
1,300,242521
1,300,241000
1,300,243179
1,300,243539
1,300,241965
1,300,242474
1,300,243166
1,300,241803
1,300,242291
1,300,246016
1,300,243177
1,300,241822
1,300,274496
1,300,273938
1,300,271804
1,300,243575
1,300,242272
1,300,242535
1,300,242318
1,300,242394
1,300,255698
1,300,274849
1,300,244054
1,300,240943
1,300,241950
1,300,243272
1,300,241749
1,300,242436
1,300,242451
1,300,242664
1,300,242223
1,300,242980
1,300,242202
1,300,242139
1,300,242322